iter	Passed	Remaining
0	59	17791
1	63	9388
2	66	6577
3	69	5144
4	72	4268
5	75	3689
6	78	3287
7	82	3000
8	85	2754
9	88	2559
10	91	2399
11	94	2263
12	97	2157
13	100	2060
14	104	1985
15	107	1915
16	111	1848
17	113	1785
18	117	1736
19	120	1688
20	124	1647
21	127	1606
22	130	1567
23	133	1532
24	136	1499
25	139	1468
26	142	1442
27	146	1419
28	149	1394
29	152	1373
30	156	1355
31	159	1336
32	162	1317
33	166	1302
34	169	1285
35	173	1268
36	176	1256
37	180	1243
38	183	1227
39	186	1214
40	190	1203
41	193	1191
42	197	1177
43	200	1165
44	203	1150
45	206	1140
46	209	1130
47	213	1121
48	217	1114
49	220	1103
50	224	1095
51	228	1089
52	232	1081
53	235	1071
54	238	1062
55	241	1054
56	245	1045
57	248	1038
58	252	1032
59	256	1024
60	259	1018
61	263	1010
62	266	1003
63	270	995
64	273	988
65	276	981
66	280	976
67	284	969
68	287	963
69	291	957
70	294	950
71	298	944
72	301	938
73	305	932
74	309	927
75	312	921
76	316	915
77	319	910
78	323	905
79	327	899
80	331	895
81	334	889
82	338	885
83	342	879
84	345	873
85	348	868
86	352	862
87	355	856
88	359	851
89	362	846
90	366	841
91	370	836
92	374	832
93	377	827
94	381	822
95	384	817
96	388	813
97	392	808
98	396	804
99	399	799
100	403	794
101	407	791
102	411	786
103	414	782
104	417	775
105	421	771
106	424	766
107	428	761
108	431	756
109	435	752
110	439	748
111	442	743
112	446	739
113	450	734
114	453	730
115	457	725
116	461	721
117	464	716
118	468	712
119	471	707
120	475	703
121	478	698
122	482	694
123	485	689
124	488	683
125	491	679
126	494	673
127	497	669
128	501	664
129	504	660
130	507	655
131	511	650
132	514	646
133	517	641
134	520	636
135	524	632
136	527	628
137	531	623
138	534	619
139	537	614
140	541	610
141	544	605
142	548	601
143	551	597
144	555	593
145	558	589
146	562	585
147	565	580
148	568	576
149	571	571
150	575	567
151	578	563
152	582	559
153	585	555
154	589	551
155	593	547
156	596	543
157	599	538
158	602	534
159	606	530
160	609	526
161	613	522
162	617	518
163	620	514
164	623	510
165	627	506
166	630	501
167	633	497
168	636	493
169	640	489
170	643	485
171	646	481
172	649	476
173	652	472
174	655	468
175	658	464
176	661	459
177	665	455
178	668	451
179	671	447
180	674	443
181	678	439
182	681	435
183	684	431
184	688	427
185	691	424
186	695	420
187	698	416
188	702	412
189	705	408
190	709	404
191	712	400
192	715	396
193	718	392
194	721	388
195	725	384
196	728	380
197	731	377
198	735	373
199	739	369
200	742	365
201	745	361
202	748	357
203	752	353
204	755	349
205	758	345
206	761	342
207	764	338
208	767	334
209	770	330
210	774	326
211	777	322
212	780	318
213	784	315
214	788	311
215	791	307
216	794	303
217	797	300
218	801	296
219	804	292
220	807	288
221	811	284
222	814	281
223	818	277
224	821	273
225	824	269
226	827	266
227	831	262
228	834	258
229	837	254
230	840	251
231	844	247
232	847	243
233	850	239
234	853	236
235	857	232
236	860	228
237	863	225
238	866	221
239	869	217
240	872	213
241	875	209
242	879	206
243	882	202
244	885	198
245	889	195
246	893	191
247	896	187
248	899	184
249	902	180
250	906	176
251	909	173
252	912	169
253	915	165
254	918	162
255	922	158
256	925	154
257	928	151
258	931	147
259	934	143
260	937	140
261	941	136
262	944	132
263	947	129
264	950	125
265	953	121
266	956	118
267	960	114
268	963	111
269	966	107
270	969	103
271	972	100
272	976	96
273	979	92
274	982	89
275	985	85
276	988	82
277	992	78
278	995	74
279	999	71
280	1002	67
281	1005	64
282	1009	60
283	1012	57
284	1015	53
285	1019	49
286	1022	46
287	1026	42
288	1030	39
289	1033	35
290	1036	32
291	1039	28
292	1042	24
293	1046	21
294	1050	17
295	1054	14
296	1058	10
297	1062	7
298	1066	3
299	1070	0
