iter	Logloss
0	0.6929145089
1	0.6926878068
2	0.6925146527
3	0.692344369
4	0.6921573779
5	0.6920301549
6	0.6918584962
7	0.6916969618
8	0.6915725689
9	0.6914484253
10	0.691311078
11	0.6911555969
12	0.6910208485
13	0.6908794471
14	0.6907726248
15	0.6906386041
16	0.6905297963
17	0.6904222679
18	0.6903137598
19	0.690229708
20	0.690115276
21	0.6900338132
22	0.6899495582
23	0.6898684143
24	0.6897827139
25	0.6897142639
26	0.689621136
27	0.6895517293
28	0.6894599262
29	0.6893893648
30	0.6892893837
31	0.6892269307
32	0.6891437614
33	0.6890812193
34	0.6890127694
35	0.6889430547
36	0.6888920473
37	0.6888127037
38	0.688765587
39	0.6886970679
40	0.688649066
41	0.6885930826
42	0.6885312353
43	0.6884901703
44	0.6884348955
45	0.6883705441
46	0.6882958228
47	0.6882511281
48	0.6881964444
49	0.6881428637
50	0.6880906383
51	0.6880391184
52	0.6880057184
53	0.687955883
54	0.6879023903
55	0.6878723312
56	0.6878376112
57	0.6878020702
58	0.6877412863
59	0.6876810673
60	0.6876540505
61	0.6876191814
62	0.6875630185
63	0.6875236804
64	0.6874783614
65	0.6874322075
66	0.6873840953
67	0.6873437972
68	0.6873130826
69	0.68726771
70	0.6872461904
71	0.6872148233
72	0.687183327
73	0.6871286872
74	0.6871075715
75	0.687045568
76	0.6870170014
77	0.6869912048
78	0.6869545854
79	0.6869207292
80	0.6868791879
81	0.6868425694
82	0.686823436
83	0.6868007489
84	0.6867421524
85	0.6867142487
86	0.6866631434
87	0.6866391783
88	0.6865994126
89	0.6865769156
90	0.6865462811
91	0.6865129837
92	0.686468155
93	0.6864294421
94	0.6864065165
95	0.686376783
96	0.6863343758
97	0.6862988845
98	0.6862671182
99	0.6862406238
100	0.6862153623
101	0.6861778983
102	0.6861524931
103	0.6861181254
104	0.6860859581
105	0.686060164
106	0.6860224186
107	0.6859707218
108	0.6859308805
109	0.6859183924
110	0.6858860449
111	0.6858542147
112	0.6858319856
113	0.6858087732
114	0.6857876285
115	0.6857637898
116	0.685739972
117	0.6857259912
118	0.6857121327
119	0.6856990299
120	0.685659606
121	0.6856326893
122	0.6856111796
123	0.685592029
124	0.6855695931
125	0.6855455994
126	0.6855056678
127	0.6854808142
128	0.6854417019
129	0.6854061263
130	0.6853811527
131	0.6853581661
132	0.6853263262
133	0.6853055982
134	0.6852926588
135	0.6852589301
136	0.6852366648
137	0.6852123256
138	0.6851922862
139	0.6851606829
140	0.685115075
141	0.6850876031
142	0.6850624658
