iter	Passed	Remaining
0	63	28458
1	69	15536
2	75	11179
3	80	9003
4	86	7684
5	92	6820
6	98	6208
7	103	5734
8	109	5361
9	116	5115
10	121	4863
11	127	4641
12	132	4453
13	137	4296
14	143	4150
15	148	4036
16	154	3925
17	159	3823
18	164	3725
19	169	3639
20	174	3561
21	179	3494
22	185	3435
23	190	3375
24	196	3334
25	202	3295
26	207	3244
27	212	3196
28	217	3153
29	222	3115
30	227	3078
31	233	3047
32	239	3026
33	245	2998
34	250	2974
35	256	2944
36	261	2917
37	266	2887
38	271	2860
39	277	2839
40	282	2813
41	287	2794
42	292	2772
43	302	2790
44	318	2868
45	324	2850
46	329	2828
47	335	2808
48	341	2792
49	345	2767
50	351	2752
51	357	2733
52	362	2713
53	371	2726
54	377	2712
55	383	2695
56	388	2676
57	393	2660
58	398	2642
59	403	2625
60	409	2610
61	414	2596
62	419	2579
63	425	2566
64	431	2556
65	437	2544
66	442	2529
67	448	2516
68	454	2507
69	459	2493
70	465	2484
71	471	2476
72	477	2465
73	482	2453
74	488	2440
75	496	2440
76	501	2427
77	506	2415
78	512	2405
79	517	2394
80	523	2384
81	528	2372
82	534	2362
83	539	2349
84	544	2337
85	549	2325
86	554	2314
87	560	2304
88	565	2293
89	570	2283
90	576	2273
91	581	2261
92	586	2251
93	591	2241
94	597	2231
95	602	2221
96	608	2215
97	614	2207
98	621	2203
99	627	2195
100	632	2184
101	638	2177
102	644	2170
103	649	2159
104	655	2153
105	660	2142
106	668	2144
107	674	2136
108	680	2128
109	686	2121
110	691	2112
111	696	2103
112	702	2095
113	707	2085
114	712	2076
115	718	2069
116	724	2062
117	729	2053
118	735	2044
119	740	2035
120	746	2030
121	751	2021
122	757	2013
123	763	2006
124	768	1997
125	773	1988
126	778	1979
127	783	1971
128	789	1963
129	795	1958
130	801	1951
131	806	1943
132	811	1934
133	816	1925
134	822	1918
135	829	1915
136	835	1907
137	840	1899
138	845	1892
139	851	1885
140	856	1876
141	861	1868
142	867	1861
143	872	1854
144	878	1847
145	884	1840
146	889	1832
147	894	1825
148	899	1817
149	904	1809
150	909	1801
151	914	1793
152	919	1785
153	925	1778
154	930	1771
155	936	1764
156	941	1757
157	946	1750
158	953	1744
159	958	1737
160	963	1729
161	968	1721
162	973	1714
163	979	1707
164	984	1700
165	989	1693
166	994	1686
167	1000	1679
168	1006	1672
169	1011	1665
170	1017	1659
171	1023	1653
172	1028	1646
173	1033	1639
174	1039	1633
175	1044	1626
176	1050	1619
177	1055	1613
178	1060	1605
179	1065	1598
180	1071	1592
181	1077	1586
182	1082	1579
183	1087	1572
184	1092	1565
185	1098	1558
186	1103	1551
187	1108	1545
188	1115	1540
189	1121	1534
190	1127	1528
191	1132	1522
192	1139	1517
193	1144	1510
194	1149	1503
195	1155	1497
196	1160	1490
197	1166	1484
198	1171	1477
199	1176	1470
200	1181	1463
201	1186	1456
202	1191	1449
203	1197	1443
204	1202	1436
205	1207	1429
206	1212	1423
207	1217	1416
208	1223	1411
209	1229	1404
210	1234	1398
211	1244	1396
212	1249	1389
213	1254	1383
214	1260	1377
215	1265	1371
216	1270	1364
217	1276	1358
218	1281	1352
219	1287	1345
220	1292	1338
221	1297	1332
222	1302	1326
223	1308	1319
224	1313	1313
225	1318	1307
226	1324	1300
227	1329	1294
228	1335	1288
229	1340	1282
230	1345	1275
231	1350	1269
232	1358	1265
233	1363	1258
234	1375	1258
235	1381	1252
236	1386	1246
237	1392	1240
238	1397	1233
239	1402	1227
240	1409	1221
241	1414	1215
242	1420	1210
243	1433	1210
244	1438	1203
245	1444	1197
246	1449	1191
247	1454	1184
248	1460	1178
249	1465	1172
250	1471	1166
251	1478	1161
252	1483	1155
253	1489	1149
254	1495	1143
255	1500	1137
256	1506	1131
257	1511	1125
258	1517	1118
259	1522	1112
260	1528	1106
261	1534	1100
262	1539	1094
263	1544	1088
264	1550	1082
265	1556	1076
266	1562	1070
267	1567	1064
268	1572	1058
269	1577	1051
270	1583	1045
271	1588	1039
272	1593	1033
273	1609	1033
274	1614	1027
275	1620	1021
276	1625	1015
277	1631	1009
278	1637	1003
279	1642	997
280	1648	991
281	1653	985
282	1659	979
283	1664	972
284	1669	966
285	1675	960
286	1681	954
287	1686	948
288	1692	942
289	1698	937
290	1704	931
291	1709	924
292	1714	918
293	1719	912
294	1724	906
295	1730	900
296	1736	894
297	1741	888
298	1746	882
299	1753	876
300	1763	872
301	1782	873
302	1792	869
303	1799	864
304	1818	864
305	1827	860
306	1836	855
307	1844	850
308	1849	844
309	1855	838
310	1861	831
311	1866	825
312	1872	819
313	1879	813
314	1884	807
315	1890	801
316	1896	795
317	1901	789
318	1907	783
319	1913	777
320	1919	771
321	1925	765
322	1932	759
323	1938	753
324	1944	747
325	1949	741
326	1955	735
327	1967	731
328	1972	725
329	1977	719
330	1982	712
331	1987	706
332	1993	700
333	2003	695
334	2008	689
335	2013	683
336	2018	676
337	2023	670
338	2029	664
339	2034	658
340	2039	651
341	2044	645
342	2050	639
343	2056	633
344	2061	627
345	2066	621
346	2072	615
347	2078	609
348	2084	603
349	2090	597
350	2096	591
351	2101	585
352	2109	579
353	2114	573
354	2120	567
355	2127	561
356	2132	555
357	2137	549
358	2144	543
359	2149	537
360	2154	531
361	2160	525
362	2165	518
363	2169	512
364	2175	506
365	2180	500
366	2186	494
367	2191	488
368	2197	482
369	2216	479
370	2222	473
371	2226	466
372	2233	461
373	2239	454
374	2243	448
375	2249	442
376	2254	436
377	2259	430
378	2265	424
379	2270	418
380	2276	412
381	2283	406
382	2288	400
383	2294	394
384	2299	388
385	2305	382
386	2310	376
387	2315	370
388	2320	363
389	2326	357
390	2331	351
391	2336	345
392	2347	340
393	2354	334
394	2362	328
395	2392	326
396	2410	321
397	2438	318
398	2444	312
399	2453	306
400	2458	300
401	2463	294
402	2469	287
403	2475	281
404	2481	275
405	2487	269
406	2493	263
407	2500	257
408	2505	251
409	2515	245
410	2542	241
411	2547	234
412	2552	228
413	2559	222
414	2564	216
415	2569	210
416	2577	204
417	2583	197
418	2589	191
419	2597	185
420	2602	179
421	2608	173
422	2613	166
423	2619	160
424	2626	154
425	2631	148
426	2637	142
427	2644	135
428	2649	129
429	2654	123
430	2660	117
431	2665	111
432	2670	104
433	2678	98
434	2683	92
435	2688	86
436	2694	80
437	2699	73
438	2705	67
439	2711	61
440	2716	55
441	2722	49
442	2739	43
443	2747	37
444	2752	30
445	2757	24
446	2763	18
447	2768	12
448	2772	6
449	2778	0
