iter	Logloss
0	0.6856511502
1	0.6785895128
2	0.6712708394
3	0.6639401232
4	0.6566949756
5	0.6500887345
6	0.6432616235
7	0.6372634446
8	0.6309445994
9	0.6241502145
10	0.617609834
11	0.6108821772
12	0.6057843837
13	0.6013949852
14	0.5963085498
15	0.5901988689
16	0.5835833709
17	0.5775554088
18	0.5721718068
19	0.566753593
20	0.561345998
21	0.5559915548
22	0.5488743493
23	0.5426058225
24	0.5376743686
25	0.5329881403
26	0.5273774746
27	0.5205678033
28	0.5160619156
29	0.5114253221
30	0.5051093164
31	0.4999985804
32	0.4957818609
33	0.4908542323
34	0.4861550182
35	0.4815996188
36	0.476555922
37	0.4731492389
38	0.4693870026
39	0.4650464174
40	0.4610799744
41	0.4576270751
42	0.4532515959
43	0.4490344343
44	0.4436934077
45	0.4397845905
46	0.4356136759
47	0.431409085
48	0.4265093649
49	0.4217393005
50	0.4181184521
51	0.4135651207
52	0.4093344533
53	0.4057141594
54	0.4021277868
55	0.3983108481
56	0.3928664066
57	0.3892710998
58	0.3857945522
59	0.3830046611
60	0.3790812657
61	0.3753804195
62	0.3722336786
63	0.3684849288
64	0.3651844301
65	0.3615131907
66	0.3577203236
67	0.3538430915
68	0.3509081164
69	0.3478488143
70	0.3442219933
71	0.339277989
72	0.3354284278
73	0.3325328991
74	0.3301023796
75	0.3273663857
76	0.3231745035
77	0.3198288208
78	0.3173477836
79	0.3145508325
80	0.3125864584
81	0.3102212738
82	0.306721937
83	0.3037883965
84	0.3016878119
85	0.2994378844
86	0.2972200016
87	0.2943054952
88	0.2917881535
89	0.288859956
90	0.2867440544
91	0.2846924761
92	0.2821908044
93	0.2791921899
94	0.276744061
95	0.2748206182
96	0.2723505458
97	0.2701084809
98	0.2683928495
99	0.2663411174
100	0.2642838245
101	0.2621369946
102	0.2594607896
103	0.25739195
104	0.2553005095
105	0.2532412031
106	0.2512718356
107	0.2496133728
108	0.2473581738
109	0.2451807851
110	0.2431508651
111	0.241528534
112	0.2397393802
113	0.2377160761
114	0.2358780872
115	0.2344382171
116	0.2326573253
117	0.2310898807
118	0.2292085969
119	0.2272115845
120	0.22574103
121	0.2243147157
122	0.2225439996
123	0.2212667146
124	0.219978964
125	0.218389085
126	0.2168446479
127	0.2147010148
128	0.2135186503
129	0.2119282402
130	0.2104441889
131	0.2087915109
132	0.2068998214
133	0.2057291582
134	0.2039538738
135	0.2022696446
136	0.2009424643
137	0.1995026757
138	0.1984580743
139	0.1969975514
140	0.1951142634
141	0.1936157403
142	0.1920720462
143	0.1909311305
144	0.1898840787
145	0.1882369788
146	0.187076053
147	0.1857873792
148	0.1848096302
149	0.1834408331
150	0.1819540567
151	0.1806211079
152	0.1793132333
153	0.1783102905
154	0.1774744649
155	0.176035464
156	0.1748786533
157	0.1737602618
158	0.1723331535
159	0.1712067404
160	0.1702129367
161	0.1687886651
162	0.1677321597
163	0.1666700752
164	0.1654140819
165	0.1644072119
166	0.1633277077
167	0.1624761495
168	0.1613966728
169	0.1606978158
170	0.1597242121
171	0.1588634778
172	0.1577766533
173	0.1569507688
174	0.1561695184
175	0.155198879
176	0.1541232616
177	0.153146171
178	0.1521582341
179	0.1514141117
180	0.150493507
181	0.1495292485
182	0.148362105
183	0.1472550087
184	0.1462713629
185	0.1453517304
186	0.1444982737
187	0.1435844453
188	0.1427080506
189	0.1418858096
190	0.1412652424
191	0.140393779
192	0.1395931239
193	0.1390662264
194	0.1384438345
195	0.1376728166
196	0.1368355058
197	0.1362317718
198	0.1356257275
199	0.1345212237
200	0.1337979792
201	0.1330629099
202	0.132273494
203	0.1316367689
204	0.1309458167
205	0.1303298008
206	0.1295616973
207	0.128777332
208	0.1277132804
209	0.1270968288
210	0.1264925435
211	0.1259372253
212	0.1248150211
213	0.1240236825
214	0.1234371299
215	0.1225163736
216	0.1218352642
217	0.1212720135
218	0.1206467528
219	0.1201225395
220	0.1195528332
221	0.1189920825
222	0.1184356296
223	0.1179525385
224	0.1175103341
225	0.1169883939
226	0.1165930766
227	0.115940339
228	0.1155446526
229	0.1149667007
230	0.1143373782
231	0.1135382965
232	0.1129106212
233	0.1124042599
234	0.1119260906
235	0.1114562678
236	0.1109853084
237	0.1103302284
238	0.1095025946
239	0.1090134014
240	0.1086596446
241	0.1081036074
242	0.1076189323
243	0.1072042581
244	0.1068535869
245	0.1064222567
246	0.1059918823
247	0.1055193222
248	0.1050782177
249	0.104650083
250	0.1040915036
251	0.1036229026
252	0.1031775556
253	0.1028873376
254	0.1024139687
255	0.1019174044
256	0.1014852543
257	0.1009602913
258	0.100538329
259	0.1001064162
260	0.09955682579
261	0.09918711227
262	0.09880938507
263	0.09845225454
264	0.09803970461
265	0.09754674284
266	0.09729866105
267	0.09670268244
268	0.09638558022
269	0.09604316464
270	0.09575285516
271	0.09512294278
272	0.09484415883
273	0.09447475347
274	0.09413338813
275	0.09365807247
276	0.09340338244
277	0.09273233528
278	0.0924155159
279	0.09206701182
280	0.09168521843
281	0.0912718045
282	0.09091835023
283	0.09049187469
284	0.09007621941
285	0.08978156892
286	0.08950856448
287	0.0892594922
288	0.08892937053
289	0.08853250247
290	0.08814536343
291	0.08771287717
292	0.0874369453
293	0.08718868797
294	0.08696971693
295	0.08651598235
296	0.08629065439
297	0.08599422409
298	0.08568851833
299	0.0854215146
