iter	Passed	Remaining
0	62	28035
1	69	15562
2	74	11170
3	80	8977
4	91	8127
5	101	7513
6	109	6933
7	114	6346
8	122	6009
9	129	5680
10	134	5376
11	140	5128
12	147	4974
13	155	4841
14	164	4758
15	184	5005
16	190	4841
17	196	4705
18	201	4567
19	211	4550
20	217	4435
21	222	4322
22	228	4234
23	236	4189
24	241	4105
25	247	4028
26	252	3949
27	259	3904
28	264	3834
29	271	3807
30	277	3746
31	285	3727
32	291	3684
33	299	3658
34	305	3616
35	311	3586
36	317	3546
37	323	3502
38	327	3456
39	333	3422
40	339	3389
41	345	3354
42	351	3323
43	356	3287
44	362	3261
45	369	3241
46	384	3292
47	389	3264
48	395	3236
49	403	3227
50	440	3442
51	450	3446
52	455	3409
53	460	3377
54	466	3353
55	474	3341
56	481	3319
57	488	3299
58	494	3274
59	500	3251
60	507	3233
61	514	3218
62	521	3205
63	527	3179
64	532	3156
65	538	3131
66	544	3112
67	550	3091
68	556	3071
69	565	3072
70	572	3056
71	577	3034
72	583	3012
73	589	2993
74	595	2975
75	601	2961
76	609	2953
77	617	2944
78	625	2938
79	633	2927
80	642	2925
81	647	2907
82	653	2890
83	661	2881
84	667	2865
85	678	2870
86	684	2856
87	692	2848
88	698	2834
89	705	2820
90	712	2809
91	718	2794
92	724	2780
93	730	2765
94	740	2766
95	746	2751
96	751	2734
97	756	2715
98	761	2700
99	766	2682
100	771	2666
101	777	2651
102	782	2636
103	788	2622
104	792	2605
105	798	2591
106	805	2581
107	811	2569
108	816	2553
109	822	2541
110	827	2526
111	834	2517
112	842	2511
113	849	2503
114	855	2492
115	861	2480
116	866	2467
117	878	2471
118	885	2462
119	891	2450
120	897	2441
121	902	2427
122	907	2412
123	913	2402
124	919	2391
125	925	2380
126	932	2371
127	937	2359
128	944	2350
129	949	2336
130	954	2324
131	960	2313
132	967	2306
133	973	2296
134	981	2290
135	987	2279
136	993	2269
137	999	2259
138	1005	2248
139	1011	2240
140	1017	2230
141	1025	2224
142	1032	2215
143	1038	2205
144	1044	2197
145	1051	2189
146	1057	2180
147	1063	2170
148	1069	2161
149	1087	2175
150	1094	2167
151	1101	2159
152	1118	2170
153	1126	2164
154	1132	2156
155	1139	2146
156	1143	2133
157	1150	2126
158	1157	2118
159	1232	2233
160	1261	2264
161	1269	2256
162	1298	2285
163	1326	2312
164	1335	2306
165	1345	2301
166	1351	2289
167	1359	2281
168	1365	2270
169	1373	2261
170	1379	2251
171	1397	2259
172	1434	2297
173	1442	2288
174	1450	2279
175	1485	2312
176	1493	2303
177	1528	2336
178	1537	2327
179	1546	2319
180	1573	2339
181	1612	2373
182	1641	2394
183	1668	2412
184	1681	2408
185	1689	2398
186	1716	2413
187	1743	2429
188	1751	2419
189	1757	2405
190	1767	2396
191	1862	2503
192	1872	2493
193	1881	2483
194	1973	2580
195	1997	2588
196	2007	2577
197	2023	2575
198	2027	2557
199	2031	2539
200	2108	2611
201	2118	2601
202	2127	2588
203	2134	2574
204	2140	2558
205	2149	2545
206	2155	2530
207	2181	2537
208	2189	2524
209	2209	2524
210	2217	2511
211	2234	2508
212	2241	2494
213	2248	2480
214	2265	2476
215	2271	2460
216	2277	2445
217	2295	2442
218	2300	2427
219	2306	2411
220	2312	2395
221	2317	2380
222	2323	2364
223	2328	2349
224	2334	2334
225	2340	2319
226	2345	2304
227	2360	2298
228	2365	2282
229	2370	2267
230	2379	2255
231	2394	2250
232	2399	2234
233	2405	2220
234	2411	2206
235	2419	2193
236	2433	2187
237	2440	2174
238	2451	2164
239	2456	2149
240	2463	2136
241	2476	2128
242	2482	2114
243	2490	2102
244	2496	2089
245	2502	2075
246	2509	2062
247	2515	2049
248	2529	2041
249	2536	2028
250	2542	2015
251	2548	2002
252	2553	1988
253	2559	1974
254	2565	1961
255	2570	1948
256	2578	1936
257	2585	1924
258	2592	1911
259	2601	1901
260	2609	1889
261	2615	1877
262	2623	1865
263	2628	1851
264	2635	1839
265	2640	1826
266	2645	1813
267	2651	1800
268	2658	1788
269	2664	1776
270	2668	1762
271	2679	1753
