iter	Passed	Remaining
0	66	16556
1	72	9024
2	79	6516
3	86	5289
4	92	4521
5	99	4027
6	106	3694
7	112	3405
8	119	3201
9	126	3038
10	133	2903
11	139	2775
12	146	2670
13	152	2578
14	159	2503
15	168	2463
16	175	2407
17	182	2358
18	189	2307
19	196	2261
20	203	2218
21	210	2182
22	218	2152
23	225	2119
24	231	2087
25	238	2056
26	246	2032
27	252	2003
28	259	1975
29	265	1949
30	272	1924
31	279	1901
32	285	1880
33	291	1854
34	298	1834
35	305	1814
36	312	1796
37	318	1778
38	327	1772
39	334	1754
40	340	1737
41	347	1720
42	353	1703
43	360	1686
44	368	1676
45	376	1668
46	382	1654
47	390	1641
48	396	1625
49	403	1612
50	409	1596
51	416	1584
52	423	1572
53	429	1560
54	435	1545
55	441	1530
56	448	1517
57	455	1507
58	463	1499
59	469	1487
60	476	1476
61	483	1466
62	490	1455
63	497	1445
64	504	1436
65	511	1427
66	518	1416
67	525	1406
68	532	1396
69	539	1387
70	546	1377
71	552	1367
72	559	1357
73	566	1346
74	573	1339
75	582	1332
76	588	1322
77	596	1315
78	604	1309
79	611	1300
80	619	1293
81	627	1286
82	636	1279
83	643	1270
84	649	1260
85	657	1253
86	664	1244
87	670	1234
88	677	1225
89	684	1217
90	693	1211
91	700	1202
92	707	1193
93	714	1186
94	722	1178
95	729	1170
96	733	1157
97	740	1148
98	746	1139
99	753	1130
100	761	1122
101	768	1114
102	774	1105
103	781	1096
104	787	1087
105	793	1078
106	800	1069
107	808	1063
108	815	1054
109	822	1047
110	829	1038
111	835	1029
112	843	1022
113	849	1013
114	857	1006
115	864	998
116	872	992
117	880	984
118	887	977
119	894	969
120	901	961
121	908	953
122	916	945
123	923	938
124	929	929
125	936	921
126	943	913
127	950	905
128	956	897
129	962	888
130	969	880
131	976	873
132	983	865
133	990	857
134	998	850
135	1005	842
136	1012	835
137	1019	827
138	1026	819
139	1032	811
140	1038	803
141	1045	795
142	1052	787
143	1059	780
144	1066	772
145	1074	765
146	1081	757
147	1088	750
148	1095	742
149	1101	734
150	1108	726
151	1115	719
152	1123	712
153	1130	704
154	1136	696
155	1143	689
156	1149	681
157	1156	673
158	1163	665
159	1169	657
160	1176	650
161	1188	645
162	1204	642
163	1239	649
164	1246	641
165	1265	640
166	1272	632
167	1278	624
168	1286	616
169	1293	608
170	1300	600
171	1306	592
172	1314	585
173	1322	577
174	1331	570
175	1338	562
176	1345	554
177	1351	546
178	1358	538
179	1365	530
180	1371	522
181	1380	515
182	1388	508
183	1394	500
184	1401	492
185	1408	484
186	1415	476
187	1421	468
188	1429	461
189	1435	453
190	1442	445
191	1449	437
192	1456	430
193	1463	422
194	1470	414
195	1477	407
196	1484	399
197	1491	391
198	1499	384
199	1507	376
200	1514	369
201	1522	361
202	1529	354
203	1536	346
204	1543	338
205	1550	331
206	1557	323
207	1564	315
208	1571	308
209	1578	300
210	1586	293
211	1592	285
212	1599	277
213	1605	270
214	1612	262
215	1619	254
216	1626	247
217	1635	240
218	1641	232
219	1648	224
220	1655	217
221	1662	209
222	1669	202
223	1675	194
224	1683	187
225	1690	179
226	1696	171
227	1703	164
228	1709	156
229	1716	149
230	1722	141
231	1728	134
232	1736	126
233	1743	119
234	1749	111
235	1756	104
236	1764	96
237	1771	89
238	1777	81
239	1786	74
240	1793	66
241	1800	59
242	1807	52
243	1814	44
244	1821	37
245	1828	29
246	1834	22
247	1841	14
248	1847	7
249	1854	0
