Date,Open,High,Low,Close
01/06/2023,"1,251.44","1,275.10","1,237.18","1,266.32"
01/05/2023,"1,252.16","1,259.05","1,242.08","1,251.32"
01/04/2023,"1,210.95","1,270.50","1,209.61","1,252.16"
01/03/2023,"1,219.58","1,219.65","1,205.82","1,210.65"
01/02/2023,"1,202.11","1,221.34","1,192.89","1,221.34"
01/01/2023,"1,199.52","1,203.55","1,190.86","1,202.11"
12/31/2022,"1,197.51","1,206.99","1,192.00","1,199.52"
12/30/2022,"1,195.20","1,203.03","1,183.27","1,197.20"
12/29/2022,"1,186.77","1,205.19","1,184.00","1,195.20"
12/28/2022,"1,210.29","1,213.92","1,184.36","1,186.77"
12/27/2022,"1,216.70","1,232.38","1,201.00","1,210.24"
12/26/2022,"1,218.33","1,223.09","1,212.78","1,216.70"
12/25/2022,"1,218.83","1,222.84","1,198.79","1,218.33"
12/24/2022,"1,221.85","1,225.79","1,214.41","1,218.69"
12/23/2022,"1,215.00","1,228.61","1,212.65","1,221.85"
12/22/2022,"1,211.11","1,232.01","1,184.71","1,215.00"
12/21/2022,"1,216.14","1,220.82","1,204.15","1,211.12"
12/20/2022,"1,176.05","1,227.48","1,152.91","1,216.55"
12/19/2022,"1,182.88","1,194.39","1,166.92","1,176.05"
12/18/2022,"1,178.99","1,196.19","1,172.90","1,182.99"
12/17/2022,"1,194.61","1,196.77","1,156.61","1,179.27"
12/16/2022,"1,264.60","1,279.11","1,185.74","1,194.61"
12/15/2022,"1,310.85","1,311.07","1,261.23","1,264.65"
12/14/2022,"1,320.16","1,348.31","1,300.24","1,310.85"
12/13/2022,"1,275.08","1,345.16","1,256.69","1,320.19"
12/12/2022,"1,263.88","1,278.80","1,241.44","1,275.15"
12/11/2022,"1,268.94","1,282.99","1,262.37","1,264.92"
12/10/2022,"1,259.85","1,282.95","1,259.85","1,268.94"
12/09/2022,"1,278.32","1,291.07","1,257.12","1,259.91"
12/08/2022,"1,231.63","1,290.41","1,222.37","1,278.18"
12/07/2022,"1,256.20","1,275.65","1,220.78","1,231.63"
12/06/2022,"1,259.49","1,269.92","1,242.87","1,256.66"
12/05/2022,"1,277.23","1,304.49","1,248.00","1,259.46"
